rooms,area,bathrooms,toilets,facades_number,number_floors,build_year,has_terrace,has_garden,has_garage,elevator,is_furnished,leased,running_water,primary_energy_consumption,postal_code,cadastral_income,has_swimming_pool,property_type_house,property_type_other,locality_antwerp,locality_braine-l-alleud,locality_brussels,locality_gent,locality_laken,locality_liege,locality_lier,locality_mons,locality_mouscron,locality_namur,locality_nivelles,locality_oostende,locality_other,locality_pont-a-celles,locality_roeselare,locality_seraing,locality_tournai,locality_tubize,locality_turnhout,locality_wavre,property_subtype_duplex,property_subtype_other,property_subtype_residence,property_subtype_studio,property_subtype_villa,has_equipped_kitchen_Not equipped,has_equipped_kitchen_Partially equipped,has_equipped_kitchen_Super equipped,y_true,y_pred_oof,loss
5.0,158.0,1.0,1.0,2.0,3.0,1930.0,1,1,1,0,0,0.0,1.0,302.0,4800,666.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,199000.0,236647.80261551298,37647.80261551298
1.0,49.0,1.0,1.0,3.0,5.0,2010.0,1,0,0,1,0,0.0,1.0,298.0,2018,803.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,189000.0,210577.07877700013,21577.078777000133
2.0,86.0,1.0,1.0,2.0,5.0,2010.0,1,0,0,1,0,0.0,1.0,100.0,7090,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,215000.0,222275.51494055567,7275.514940555673
3.0,165.0,1.0,1.0,4.0,2.0,2024.0,1,1,1,1,1,0.0,1.0,232.0,3550,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,725000.0,495422.3820767086,229577.6179232914
2.0,122.0,2.0,1.0,3.0,3.0,2010.0,1,1,1,1,0,0.0,1.0,232.0,7500,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,435000.0,422803.79057344026,12196.20942655974
3.0,113.0,1.0,1.0,4.0,6.0,2024.0,1,1,0,1,0,0.0,1.0,232.0,2000,803.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,575000.0,558014.1815087856,16985.81849121442
5.0,230.0,3.0,2.0,3.0,3.0,2024.0,1,1,0,0,0,0.0,1.0,232.0,2180,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,595000.0,517241.25605971756,77758.74394028244
2.0,103.0,1.0,2.0,2.0,3.0,2024.0,1,0,1,1,0,0.0,1.0,232.0,9940,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,385000.0,398895.79753038404,13895.797530384036
2.0,384.0,2.0,3.0,4.0,3.0,1972.0,1,1,1,0,0,0.0,1.0,152.0,2450,1762.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,885000.0,849355.6614438593,35644.33855614066
1.0,67.0,1.0,1.0,3.0,3.0,2010.0,1,0,0,0,0,0.0,1.0,232.0,8300,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,437000.0,521845.53005603055,84845.53005603055
2.0,148.0,1.0,1.0,3.0,3.0,1949.0,1,1,1,0,0,0.0,1.0,333.0,9070,438.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,289000.0,301264.0206669982,12264.020666998229
4.0,130.0,1.0,2.0,3.0,3.0,2010.0,1,1,0,0,0,0.0,1.0,532.0,4000,577.0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,199000.0,206947.5500103177,7947.550010317704
2.0,65.0,1.0,1.0,2.0,3.0,2010.0,0,0,0,0,0,0.0,1.0,1026.0,4100,300.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,75000.0,114507.72344577913,39507.723445779135
2.0,87.0,1.0,2.0,4.0,4.0,2021.0,1,0,1,1,0,0.0,1.0,73.0,1300,1201.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,339000.0,353472.60016817565,14472.600168175646
2.0,150.0,1.0,1.0,3.0,3.0,2010.0,1,0,1,0,0,0.0,1.0,401.0,7080,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,175000.0,195885.25714510388,20885.257145103882
2.0,172.0,1.0,2.0,2.0,3.0,2010.0,1,0,0,0,0,0.0,1.0,172.0,7100,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,149000.0,229965.1541884205,80965.1541884205
1.0,74.0,1.0,1.0,2.0,3.0,2010.0,1,1,1,1,0,0.0,1.0,232.0,3800,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,239000.0,286876.4985677222,47876.498567722214
